,Sal
2006-02,17.169918826645446
2006-03,16.60335325125333
2006-04,16.286831886921856
2006-05,16.382032884336788
2006-06,16.59175265367416
2006-07,16.91624516110741
2006-08,17.08838678510755
2006-09,17.181766086360316
2006-10,17.05441120719238
2006-11,16.74185465336752
2006-12,16.1756697847379
2007-01,15.700206458970827
2007-02,15.164246339048704
2007-03,14.720608805040488
2007-04,14.542798514361603
2007-05,14.477801213005156
2007-06,14.67710897288514
2007-07,14.900719621562528
2007-08,15.055115701341647
2007-09,15.155181025302463
2007-10,14.98994608442323
2007-11,14.701687200398698
2007-12,14.360141901267225
2008-01,13.9472598198242
2008-02,13.487794970854663
2008-03,13.156690588243391
2008-04,13.084231878125951
2008-05,13.160072790158067
2008-06,13.411559356134395
2008-07,13.685739599930452
2008-08,13.95543407452435
2008-09,14.2001686997284
2008-10,14.242191056737035
2008-11,14.093246648316786
2008-12,13.890081346399121
2009-01,13.589870426834805
2009-02,13.322640433437666
2009-03,13.152133038337897
2009-04,13.202739584493713
2009-05,13.351181411144514
2009-06,13.600438475224374
2009-07,13.923835650682838
2009-08,14.124614686115043
2009-09,14.046836926755402
2009-10,13.893686872621661
2009-11,13.787413286235042
2009-12,13.628604079777315
2010-01,13.278607145268092
2010-02,12.995738712425368
2010-03,12.70672223206466
2010-04,12.559455443676745
2010-05,12.555880711573604
2010-06,12.534941908229053
2010-07,12.577512039612943
2010-08,12.633413017059217
2010-09,12.576110149993491
2010-10,12.351693067191471
2010-11,11.972297528367534
2010-12,11.560605698078616
2011-01,11.150396479713097
2011-02,10.746543458218907
2011-03,10.490403929879589
2011-04,10.435394755911755
2011-05,10.52757682500362
2011-06,10.710941565732721
2011-07,10.992304293581975
2011-08,11.271393939959015
2011-09,11.456103080479066
2011-10,11.513193054874467
2011-11,11.439135850054177
2011-12,11.250876890917455
2012-01,11.000040954227822
2012-02,10.653138659499776
2012-03,10.325970872348178
2012-04,10.363901872619337
2012-05,10.549348899736325
2012-06,10.748299551067193
2012-07,10.967538437837105
2012-08,11.132305902924761
2012-09,11.161474665214318
2012-10,11.121978563099235
2012-11,11.02255576340308
2012-12,10.830082732958457
2013-01,10.56246270062497
2013-02,10.232936910026702
2013-03,10.021524244773389
2013-04,9.972552245845005
2013-05,10.126900289089056
2013-06,10.316761414155982
2013-07,10.521567355958146
2013-08,10.667886999516345
2013-09,10.704778524974799
2013-10,10.716649059460314
2013-11,10.630621997276434
2013-12,10.477758549601045
2014-01,10.25594739399665
2014-02,9.886360654027058
2014-03,9.682100286848911
2014-04,9.626495759124264
2014-05,9.766009247712189
2014-06,9.942197337065476
2014-07,10.165233145558965
2014-08,10.34579664193175
2014-09,10.490309735701974
2014-10,10.490995394864045
2014-11,10.411642547539904
2014-12,10.185739838500263
2015-01,9.955205215379843
2015-02,9.726693237072682
2015-03,9.551956709470245
2015-04,9.514500088050564
2015-05,9.62390902618913
2015-06,9.815385988266945
2015-07,9.970540116439818
2015-08,10.117251788792844
2015-09,10.215956524803678
2015-10,10.202226989396078
2015-11,10.053348958656668
2015-12,9.853740158514707
2016-01,9.600241731980319
2016-02,9.35789470460831
2016-03,9.186078982288127
2016-04,9.201098198525429
2016-05,9.299564414244466
2016-06,9.44753189362612
2016-07,9.547480875704249
2016-08,9.611202762164579
2016-09,9.604501448950835
2016-10,9.54209545159527
2016-11,9.420902146950901
2016-12,9.209921960478292
2017-01,8.996162463041795
2017-02,8.821384866195267
2017-03,8.644375327487378
